SHOES,PRICES,LINKS
adidas Bermuda Glow Pink,$87 ,"https://images.stockx.com/images/adidas-Bermuda-Glow-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1685115570&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Bermuda-Glow-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1685115570&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Bermuda-Glow-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1685115570&fm=avif&q=41 3x"
adidas BW Army Footwear White,$79 ,"https://images.stockx.com/images/adidas-BW-Army-Footwear-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1700051621&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-BW-Army-Footwear-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1700051621&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-BW-Army-Footwear-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1700051621&fm=avif&q=41 3x"
adidas Campus 00s Better Scarlet Cloud White,$90 ,"https://images.stockx.com/images/adidas-Campus-00s-Better-Scarlet-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1683271639&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-00s-Better-Scarlet-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1683271639&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-00s-Better-Scarlet-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1683271639&fm=avif&q=41 3x"
adidas Campus 00s Core Black,$88 ,"https://images.stockx.com/images/adidas-Campus-00s-Core-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1681283876&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-00s-Core-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1681283876&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-00s-Core-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1681283876&fm=avif&q=41 3x"
adidas Campus 00s Core Black White,$103 ,"https://images.stockx.com/images/adidas-Campus-00s-Core-Black-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1705957767&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-00s-Core-Black-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1705957767&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-00s-Core-Black-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1705957767&fm=avif&q=41 3x"
adidas Campus 00s Dark Green Cloud White,$66 ,"https://images.stockx.com/images/adidas-Campus-00s-Dark-Green-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1683707062&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-00s-Dark-Green-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1683707062&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-00s-Dark-Green-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1683707062&fm=avif&q=41 3x"
adidas Campus 00s Dark Green Cloud White,$66 ,"https://images.stockx.com/images/adidas-Campus-00s-Dark-Green-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1683707062&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-00s-Dark-Green-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1683707062&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-00s-Dark-Green-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1683707062&fm=avif&q=41 3x"
adidas Campus 00s Grey White,$75 ,"https://images.stockx.com/images/adidas-Campus-00s-Grey-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1683626054&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-00s-Grey-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1683626054&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-00s-Grey-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1683626054&fm=avif&q=41 3x"
adidas Campus 00s Wonder White Gum,$105 ,"https://images.stockx.com/images/adidas-Campus-00s-Wonder-White-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1717497268&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-00s-Wonder-White-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1717497268&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-00s-Wonder-White-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1717497268&fm=avif&q=41 3x"
adidas Campus 2 KoRn Follow The Leader,$102 ,"https://images.stockx.com/images/adidas-Campus-2-KoRn-Follow-The-Leader-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1717164579&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-2-KoRn-Follow-The-Leader-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1717164579&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-2-KoRn-Follow-The-Leader-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1717164579&fm=avif&q=41 3x"
adidas Campus Light Bad Bunny Chalky Brown,$89 ,"https://images.stockx.com/images/adidas-Campus-Light-Bad-Bunny-Brown-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1690208437&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Campus-Light-Bad-Bunny-Brown-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1690208437&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Campus-Light-Bad-Bunny-Brown-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1690208437&fm=avif&q=41 3x"
adidas Forum Buckle Low Bad Bunny Blue Tint,$189 ,"https://images.stockx.com/images/adidas-Forum-Buckle-Low-Bad-Bunny-Blue-Tint-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1659725558&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Forum-Buckle-Low-Bad-Bunny-Blue-Tint-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1659725558&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Forum-Buckle-Low-Bad-Bunny-Blue-Tint-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1659725558&fm=avif&q=41 3x"
adidas Forum Buckle Low Bad Bunny Blue Tint,$214 ,"https://images.stockx.com/images/adidas-Forum-Buckle-Low-Bad-Bunny-Blue-Tint-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1659725558&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Forum-Buckle-Low-Bad-Bunny-Blue-Tint-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1659725558&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Forum-Buckle-Low-Bad-Bunny-Blue-Tint-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1659725558&fm=avif&q=41 3x"
adidas Forum Buckle Low Bad Bunny Last Forum,$147 ,"https://images.stockx.com/images/adidas-Forum-Buckle-Low-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1670919042&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Forum-Buckle-Low-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1670919042&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Forum-Buckle-Low-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1670919042&fm=avif&q=41 3x"
adidas Gazelle Bliss Pink Dark Blue,$111 ,"https://images.stockx.com/images/adidas-Gazelle-Bliss-Pink-Dark-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1715176632&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Bliss-Pink-Dark-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1715176632&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Bliss-Pink-Dark-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1715176632&fm=avif&q=41 3x"
adidas Gazelle CLOT Halo Ivory,$165 ,"https://images.stockx.com/images/adidas-Gazelle-CLOT-Halo-Ivory-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1718719546&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-CLOT-Halo-Ivory-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1718719546&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-CLOT-Halo-Ivory-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1718719546&fm=avif&q=41 3x"
adidas Gazelle Indoor Bad Bunny,$140 ,"https://images.stockx.com/images/adidas-Gazelle-Indoor-Bad-Bunny-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1715176667&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-Bad-Bunny-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1715176667&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-Bad-Bunny-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1715176667&fm=avif&q=41 3x"
adidas Gazelle Indoor Bad Bunny San Juan,$229 ,"https://images.stockx.com/images/adidas-Gazelle-Indoor-San-Juan-Bad-Bunny-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1719312998&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-San-Juan-Bad-Bunny-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1719312998&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-San-Juan-Bad-Bunny-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1719312998&fm=avif&q=41 3x"
adidas Gazelle Indoor Better Scarlet,$84 ,"https://images.stockx.com/images/adidas-Gazelle-Indoor-Better-Scarlet-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1718880244&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-Better-Scarlet-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1718880244&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-Better-Scarlet-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1718880244&fm=avif&q=41 3x"
adidas Gazelle Indoor Better Scarlet,$84 ,"https://images.stockx.com/images/adidas-Gazelle-Indoor-Better-Scarlet-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1718880244&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-Better-Scarlet-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1718880244&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-Better-Scarlet-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1718880244&fm=avif&q=41 3x"
adidas Gazelle Indoor Blue Bird Gum,$88 ,"https://images.stockx.com/images/adidas-Gazelle-Blue-Bird-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1667200246&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Blue-Bird-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1667200246&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Blue-Bird-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1667200246&fm=avif&q=41 3x"
adidas Gazelle Indoor Blue Bird Gum,$88 ,"https://images.stockx.com/images/adidas-Gazelle-Blue-Bird-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1667200246&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Blue-Bird-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1667200246&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Blue-Bird-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1667200246&fm=avif&q=41 3x"
adidas Gazelle Indoor Collegiate Green Gum,$79 ,"https://images.stockx.com/images/adidas-Gazelle-Indoor-Collegiate-Green-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1704488743&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-Collegiate-Green-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1704488743&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Indoor-Collegiate-Green-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1704488743&fm=avif&q=41 3x"
adidas Gazelle Indoor Scarlet Cloud White,$92 ,"https://images.stockx.com/images/adidas-Gazelle-Scarlet-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1666162140&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Gazelle-Scarlet-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1666162140&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Gazelle-Scarlet-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1666162140&fm=avif&q=41 3x"
adidas Handball Spezial Light Blue,$90 ,"https://images.stockx.com/images/adidas-Handball-Spezial-Light-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1641999489&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Handball-Spezial-Light-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1641999489&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Handball-Spezial-Light-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1641999489&fm=avif&q=41 3x"
adidas Handball Spezial Navy Gum,$103 ,"https://images.stockx.com/images/adidas-Handball-Spezial-Navy-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1662732693&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Handball-Spezial-Navy-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1662732693&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Handball-Spezial-Navy-Gum-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1662732693&fm=avif&q=41 3x"
adidas Handball Spezial Preloved Green,$90 ,"https://images.stockx.com/images/adidas-Handball-Spezial-Preloved-Green-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1712696908&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Handball-Spezial-Preloved-Green-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1712696908&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Handball-Spezial-Preloved-Green-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1712696908&fm=avif&q=41 3x"
adidas Handball Spezial Sporty & Rich Brown,$119 ,"https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Brown-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1716903642&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Brown-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1716903642&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Brown-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1716903642&fm=avif&q=41 3x"
adidas Handball Spezial Sporty & Rich Pink,$75 ,"https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1716903664&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1716903664&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1716903664&fm=avif&q=41 3x"
adidas Handball Spezial Sporty & Rich Pink,$75 ,"https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1716903664&fm=avif&q=57 1x,
https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1716903664&fm=avif&q=60 2x,
https://images.stockx.com/images/adidas-Handball-Spezial-Sporty--Rich-Pink-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1716903664&fm=avif&q=41 3x"
